segment_index,bitrate_kbps,download_time_ms,cumulative_qoe
1,1850,5077.145731619044,2.1476625103882054
2,4300,11082.720012345924,4.295325020776411
3,4300,11681.599597832217,7.2864169147739
4,4300,10148.748448970511,10.277508808771389
5,4300,10916.727152454365,13.268600702768877
6,4300,9576.738313523454,16.259692596766367
7,4300,1242.7525766856259,19.250784490763856
8,4300,736.1712085076435,22.241876384761344
9,4300,664.1762521014974,25.232968278758833
10,4300,714.6009305235173,28.22406017275632
11,4300,694.5838839582437,31.21515206675381
12,4300,658.0022285647261,34.2062439607513
13,4300,700.7581811784024,37.19733585474879
14,4300,719.0807810958031,40.188427748746285
15,4300,664.6152239041312,43.17951964274378
16,4300,709.6215704824976,46.17061153674127
17,4300,784.3572660433875,49.16170343073876
18,4300,889.7787056367432,52.15279532473625
19,4300,707.7537817690396,55.143887218733745
20,4300,791.7584525601533,58.13497911273124
21,4300,909.7229559586824,61.12607100672873
22,4300,835.747153059255,64.11716290072621
23,4300,849.1264234703725,67.1082547947237
24,4300,917.521351766513,70.0993466887212
25,4300,931.0182626232174,73.09043858271869
26,4300,894.9074021419771,76.08153047671618
27,4300,732.7782903212401,79.07262237071367
28,4300,658.2515895773595,82.06371426471117
29,4300,838.160586722545,85.05480615870866
30,4300,822.2341673982662,88.04589805270615
31,4300,797.9320344358858,91.03698994670364
32,4300,697.2636312535133,94.02808184070113
33,4300,721.7011161969003,97.01917373469863
34,4300,856.6811572773424,100.01026562869612
35,4300,857.7593127334993,103.00135752269361
36,4300,747.7225599315068,105.9924494166911
37,4300,853.428260063068,108.9835413106886
38,4300,747.5607493971434,111.97463320468609
39,4300,859.1382818203942,114.96572509868358
40,4300,578.2508152835239,117.95681699268107
41,4300,970.3670668953688,120.94790888667856
42,4300,686.9226842580595,123.93900078067605
43,4300,703.8883260690305,126.93009267467355
44,4300,711.010752688172,129.92118456867104
45,4300,750.4422264171625,132.91227646266853
46,4300,723.8698568062352,135.90336835666602
47,4300,706.6210120136844,138.8944602506635
48,4300,748.8318879783594,141.885552144661
49,4300,600.3745455828893,144.8766440386585
50,4300,634.4642985256179,147.867735932656
51,4300,692.1886114117829,150.85882782665348
52,4300,894.0641272150912,153.84991972065097
53,4300,938.5524086680871,156.84101161464847
54,4300,11929.204832603833,159.83210350864596
55,4300,10808.119449347412,162.82319540264345
56,4300,10724.65096790422,165.81428729664094
57,4300,11030.490604378734,168.80537919063843
58,4300,9908.534598637729,171.79647108463593
59,1850,4220.491844146191,173.10070421141486
60,1850,308.933025765336,175.24836672180308
61,4300,658.0022285647261,177.3960292321913
62,4300,700.7581811784024,180.3871211261888
63,4300,714.8448606169605,183.37821302018628
64,4300,659.347812487782,186.36930491418377
65,4300,703.9863940258826,189.36039680818126
66,4300,678.4762872893615,192.35148870217876
67,4300,770.970142792201,195.34258059617625
68,4300,641.9009776095869,198.33367249017374
69,4300,693.1674550614948,201.32476438417123
70,4300,805.7456204048289,204.31585627816872
71,4300,787.2480711627485,207.30694817216622
72,4300,769.0656087885261,210.2980400661637
73,4300,920.7961354643096,213.2891319601612
74,4300,960.1350531887558,216.2802238541587
75,4300,910.8654699864891,219.27131574815618
76,4300,847.6193784983594,222.26240764215368
77,4300,806.3926267281106,225.25349953615117
78,4300,834.1283290683348,228.24459143014866
79,4300,828.9735570088143,231.23568332414615
80,4300,733.5003947969913,234.22677521814364
81,4300,720.9902339691643,237.21786711214114
82,4300,852.2967901704924,240.20895900613863
83,4300,789.1628454916175,243.20005090013612
84,4300,824.3867693701858,246.1911427941336
85,4300,702.5503493134185,249.1822346881311
86,4300,741.5950774913675,252.1733265821286
87,4300,793.2820740302627,255.1644184761261
88,4300,758.017808219178,258.1555103701236
89,4300,510.9787243150685,261.14660226412104
90,4300,893.5937673900946,264.1376941581185
91,4300,807.6330921906882,267.12878605211597
92,4300,867.728595765393,270.11987794611343
93,4300,892.112602159217,273.1109698401109
94,4300,921.2434668550096,276.10206173410836
95,4300,629.9265716417324,279.0931536281058
96,4300,697.7507755134095,282.0842455221033
97,4300,752.3570372146941,285.07533741610075
98,4300,765.1401123799167,288.0664293100982
99,4300,806.3697661772702,291.0575212040957
100,4300,711.7087676028324,294.04861309809314
101,4300,689.0912562654149,297.0397049920906
102,4300,643.8557159495994,300.03079688608807
103,4300,723.6882634915726,303.02188878008553
104,4300,640.1944873975568,306.012980674083
105,4300,914.8637946266175,309.00407256808046
106,4300,971.9051603180377,311.9951644620779
107,4300,10638.649418350504,314.9862563560754
108,4300,12173.710666446837,317.97734825007285
109,4300,10523.418836561377,320.9684401440703
110,4300,9904.834928133288,323.9595320380678
111,4300,10436.131437159007,326.95062393206524
112,1850,4261.077765607886,328.25485705884415
113,1850,323.5375060878827,330.40251956923237
114,4300,703.9863940258826,332.5501820796205
115,4300,678.4762872893615,335.541273973618
116,4300,769.2944442272354,338.53236586761545
117,4300,636.81917347617,341.5234577616129
118,4300,687.6667318293779,344.5145496556104
119,4300,696.9018649567971,347.50564154960784
120,4300,681.9983177694417,350.4967334436053
121,4300,697.3421633554084,353.48782533760277
122,4300,710.972563859981,356.47891723160024
123,4300,850.2663156939276,359.4700091255977
124,4300,857.9003358446038,362.46110101959516
125,4300,767.7040847465016,365.4521929135926
126,4300,803.4627238733771,368.4432848075901
127,4300,902.868389948096,371.43437670158755
128,4300,843.7290098436595,374.425468595585
129,4300,848.4578266743872,377.4165604895825
130,4300,883.6931899641577,380.40765238357994
131,4300,850.6105415985054,383.3987442775774
132,4300,824.4462136290399,386.38983617157487
133,4300,757.7640360719777,389.38092806557233
134,4300,726.4621618252088,392.3720199595698
135,4300,875.8932755500524,395.36311185356726
136,4300,732.4550077052455,398.3542037475647
137,4300,801.1552333484368,401.3452956415622
138,4300,480.5020075483819,404.33638753555965
139,4300,776.3709949409781,407.3274794295571
140,4300,857.1294790280448,410.3185713235546
141,4300,769.8359635198976,413.30966321755204
142,4300,760.0263698630137,416.3007551115495
143,4300,848.438508625487,419.29184700554697
144,4300,740.320905212391,422.28293889954443
145,4300,860.1206619615479,425.2740307935419
146,4300,943.1122536987962,428.26512268753936
147,4300,849.5707799414791,431.2562145815368
148,4300,701.4154788549888,434.2473064755343
149,4300,702.7728040208898,437.23839836953175
150,4300,692.3274573290163,440.2294902635292
151,4300,816.6320471991963,443.2205821575267
152,4300,844.8598876200833,446.21167405152414
153,4300,658.2047497812077,449.2027659455216
154,4300,705.0132866576498,452.19385783951907
155,4300,666.5079942116967,455.18494973351653
156,4300,653.8396014469048,458.176041627514
157,4300,706.7870728312973,461.16713352151146
158,4300,916.6290079509432,464.1582254155089
159,4300,868.0061840669334,467.1493173095064
160,4300,11347.905316835999,470.14040920350385
161,4300,12133.886922623411,473.1315010975013
162,4300,9894.341469452163,476.1225929914988
163,4300,10565.12612324234,479.11368488549624
164,4300,10108.641493272637,482.1047767794937
165,1850,4054.9440674435527,483.4090099062726
166,1850,257.1496266176643,485.55667241666083
167,4300,687.6667318293779,487.704334927049
168,4300,696.9018649567971,490.69542682104645
169,4300,680.9666497243618,493.6865187150439
170,4300,691.8073268952575,496.6776106090414
171,4300,662.9116784611174,499.66870250303884
172,4300,698.4848887672518,502.6597943970363
173,4300,700.8921137908036,505.65088629103377
174,4300,683.0249132765689,508.64197818503123
175,4300,716.7716808577736,511.6330700790287
176,4300,846.1327040029046,514.6241619730262
177,4300,748.1106925660343,517.6152538670236
178,4300,770.6806748332534,520.6063457610211
179,4300,961.3387635541395,523.5974376550186
180,4300,866.7082583894341,526.588529549016
181,4300,877.2576722640417,529.5796214430135
182,4300,852.5531750627292,532.570713337011
183,4300,855.5444444444445,535.5618052310084
184,4300,845.1233058477869,538.5528971250059
185,4300,862.1972798786845,541.5439890190033
186,4300,699.5744088434526,544.5350809130008
187,4300,747.0215683829946,547.5261728069983
188,4300,822.069149442804,550.5172647009957
189,4300,888.3599456275488,553.5083565949932
190,4300,734.8338921613049,556.4994484889907
191,4300,705.6545410744399,559.4905403829881
192,4300,715.1384806873846,562.4816322769856
193,4300,853.2369264133274,565.472724170983
194,4300,755.5657534246575,568.4638160649805
195,4300,770.3678082191781,571.454907958978
196,4300,868.3624559450936,574.4459998529754
197,4300,876.162864032647,577.4370917469729
198,4300,854.8300803115113,580.4281836409704
199,4300,794.8081929169609,583.4192755349678
